answer,count,percent,sum,prob
DADO,173,0.01,0.263,0.0000115995
FANS,173,0.01,0.274,0.0000063574
JETS,173,0.01,0.299,0.0000017311
THAR,173,0.01,0.282,0.0000136496
COOT,173,0.01,0.250,0.0000114047
VEEP,173,0.01,0.311,0.0000042063
VIOL,173,0.01,0.198,0.0000019598
YANG,173,0.01,0.209,0.0000019082
DARK,172,0.01,0.234,0.0000031107
GRAF,172,0.01,0.217,0.0000016582
INLA,172,0.01,0.290,0.0000227871
JABS,172,0.01,0.224,0.0000003802
OPRY,172,0.01,0.189,0.0000021467
ZAPS,172,0.01,0.234,0.0000006291
NALA,172,0.01,0.344,0.0000426820
LAVE,171,0.01,0.314,0.0000067348
FROG,171,0.01,0.177,0.0000010791
LUIS,171,0.01,0.226,0.0000066186
ODAY,171,0.01,0.241,0.0000044984
SHIM,171,0.01,0.200,0.0000034342
DAMN,171,0.01,0.240,0.0000069939
DIDO,171,0.01,0.210,0.0000061927
LAPD,171,0.01,0.233,0.0000062859
XMEN,171,0.01,0.228,0.0000006222
EGIS,170,0.01,0.307,0.0000144299
FLAK,170,0.01,0.189,0.0000006478
KING,170,0.01,0.151,0.0000007310
RIOS,170,0.01,0.297,0.0000294152
ROCS,170,0.01,0.264,0.0000136279
ZION,170,0.01,0.199,0.0000006151
LODI,170,0.01,0.226,0.0000090080
MEME,170,0.01,0.330,0.0000142212
WARS,170,0.01,0.286,0.0000077329
LOEW,169,0.01,0.276,0.0000057748
MACH,169,0.01,0.194,0.0000020696
BETE,169,0.01,0.365,0.0000252277
CHIT,169,0.01,0.184,0.0000028742
HAGS,169,0.01,0.246,0.0000045253
JIVE,169,0.01,0.209,0.0000001344
MARX,169,0.01,0.217,0.0000006232
RIEL,169,0.01,0.324,0.0000325320
WAND,169,0.01,0.223,0.0000026799
ALEG,168,0.01,0.325,0.0000162931
ISAW,168,0.01,0.276,0.0000065831
LINK,168,0.01,0.185,0.0000020201
NATS,168,0.01,0.335,0.0000438986
RIVE,168,0.01,0.279,0.0000048658
BEAK,168,0.01,0.281,0.0000030215
BREA,168,0.01,0.343,0.0000213738
COKE,168,0.01,0.251,0.0000029919
GENA,168,0.01,0.332,0.0000184384
HIES,168,0.01,0.310,0.0000172014
PINA,168,0.01,0.265,0.0000119208
TONG,168,0.01,0.226,0.0000062310
ATIE,168,0.01,0.385,0.0000694028
JOHN,168,0.01,0.160,0.0000002075
KEDS,167,0.01,0.273,0.0000045524
ATMO,167,0.01,0.289,0.0000168886
BONA,167,0.01,0.269,0.0000097424
ISIN,167,0.01,0.272,0.0000201813
MERV,167,0.01,0.245,0.0000021723
OUZO,167,0.01,0.175,0.0000002832
UGHS,167,0.01,0.154,0.0000008967
COOS,167,0.01,0.267,0.0000141410
FINN,167,0.01,0.193,0.0000023154
FOOL,167,0.01,0.214,0.0000030944
HOLD,167,0.01,0.188,0.0000033727
ZANY,167,0.01,0.192,0.0000002187
POUT,167,0.01,0.197,0.0000034037
ONEG,167,0.01,0.292,0.0000119985
MEIN,166,0.01,0.287,0.0000139925
NIBS,166,0.01,0.229,0.0000061445
SALK,166,0.01,0.267,0.0000055466
SHAQ,166,0.01,0.227,0.0000001774
BEGS,166,0.01,0.264,0.0000043934
FEST,166,0.01,0.308,0.0000089730
CUSP,166,0.01,0.168,0.0000016041
KATO,165,0.01,0.272,0.0000062816
PARK,165,0.01,0.225,0.0000023671
GLOP,165,0.01,0.175,0.0000021530
GOLD,165,0.01,0.184,0.0000028293
RADS,165,0.01,0.312,0.0000269742
POPS,165,0.01,0.219,0.0000051635
SHUE,165,0.01,0.272,0.0000063841
ATIP,164,0.01,0.276,0.0000140930
HYMN,164,0.01,0.125,0.0000005422
ITOR,164,0.01,0.280,0.0000237234
LOGS,164,0.01,0.236,0.0000068270
LUMP,164,0.01,0.132,0.0000009318
MOMA,164,0.01,0.245,0.0000064926
SUNS,164,0.01,0.260,0.0000107852
PETA,164,0.01,0.352,0.0000315152
ZOOM,164,0.01,0.179,0.0000003407
SIRI,164,0.01,0.284,0.0000241330
DIPS,163,0.01,0.215,0.0000055670
ESNE,163,0.01,0.424,0.0001009203
ONIN,163,0.01,0.257,0.0000167809
SERT,163,0.01,0.370,0.0000626719
TOGS,163,0.01,0.254,0.0000091338
UTIL,163,0.01,0.209,0.0000053379
WILT,163,0.01,0.197,0.0000024604
ILKS,163,0.01,0.214,0.0000029612
MEDS,163,0.01,0.290,0.0000122397
MIKE,163,0.01,0.237,0.0000023653
COUP,163,0.01,0.154,0.0000013579
SEVE,162,0.01,0.371,0.0000133382
BIDS,162,0.01,0.205,0.0000037327
FEUD,162,0.01,0.207,0.0000011884
TIFF,162,0.01,0.154,0.0000004687
DIMS,162,0.01,0.214,0.0000054734
FLUE,162,0.01,0.224,0.0000017287
MOLT,162,0.01,0.227,0.0000078265
THUG,162,0.01,0.136,0.0000007232
ONTV,162,0.01,0.215,0.0000025756
TOBE,161,0.01,0.302,0.0000137506
ATAN,161,0.01,0.362,0.0000571038
BORG,161,0.01,0.185,0.0000019535
DRAY,161,0.01,0.238,0.0000043352
HANA,161,0.01,0.314,0.0000184105
PUPA,161,0.01,0.194,0.0000020452
PUTT,161,0.01,0.193,0.0000032429
ABOO,161,0.01,0.284,0.0000120886
CRUD,161,0.01,0.160,0.0000017197
MOJO,161,0.01,0.179,0.0000003071
MYNA,161,0.01,0.217,0.0000027123
NAVY,161,0.01,0.198,0.0000007887
THEA,161,0.01,0.347,0.0000259851
GOOP,161,0.01,0.197,0.0000030232
DOWN,160,0.01,0.182,0.0000017439
FALA,160,0.01,0.294,0.0000073076
FOCI,160,0.01,0.175,0.0000013550
HATH,160,0.01,0.233,0.0000043507
HUNT,160,0.01,0.178,0.0000022617
MANS,160,0.01,0.291,0.0000168763
TYRA,160,0.01,0.273,0.0000084368
CUBE,160,0.01,0.207,0.0000016704
DANG,160,0.01,0.231,0.0000049203
GUST,160,0.01,0.202,0.0000027812
PDAS,160,0.01,0.268,0.0000104275
WING,160,0.01,0.152,0.0000007531
BAEZ,159,0.01,0.273,0.0000006551
CAWS,159,0.01,0.243,0.0000030499
CNBC,159,0.01,0.136,0.0000009159
ENCE,159,0.01,0.364,0.0000324710
HIND,159,0.01,0.182,0.0000031314
LYLE,159,0.01,0.258,0.0000055633
COBB,159,0.01,0.141,0.0000007469
CURL,159,0.01,0.177,0.0000025014
WARD,159,0.01,0.235,0.0000032047
LECH,159,0.01,0.242,0.0000048040
DIGS,158,0.01,0.206,0.0000038506
EVAS,158,0.01,0.349,0.0000111722
FOUR,158,0.01,0.180,0.0000012751
ISBN,158,0.01,0.229,0.0000061445
PHAT,158,0.01,0.237,0.0000052766
VIVA,158,0.01,0.193,0.0000004504
WAIL,158,0.01,0.240,0.0000039684
WILE,158,0.01,0.263,0.0000047378
FDIC,158,0.01,0.137,0.0000006634
FLEW,158,0.01,0.212,0.0000007968
WORN,158,0.01,0.218,0.0000034328
BRAY,158,0.01,0.220,0.0000022119
LYNN,158,0.01,0.188,0.0000027656
VAIL,157,0.01,0.238,0.0000030117
ARUT,157,0.01,0.281,0.0000135304
JOKE,157,0.01,0.225,0.0000002095
SADA,157,0.01,0.355,0.0000430124
WORD,157,0.01,0.194,0.0000020854
PITH,157,0.01,0.184,0.0000028171
ADAY,157,0.01,0.281,0.0000069129
CAHN,157,0.01,0.227,0.0000045537
ROOS,157,0.01,0.311,0.0000358535
ALAW,156,0.01,0.294,0.0000074331
AMTS,156,0.01,0.302,0.0000199515
HIRT,156,0.01,0.228,0.0000072873
HOER,156,0.01,0.308,0.0000171038
ILET,156,0.01,0.324,0.0000321623
KAHN,156,0.01,0.209,0.0000016321
AINU,156,0.01,0.260,0.0000097432
BURN,156,0.01,0.174,0.0000018604
FIJI,156,0.01,0.135,0.0000000779
HOPS,156,0.01,0.214,0.0000042575
SABU,156,0.01,0.245,0.0000043484
WOVE,156,0.01,0.231,0.0000008637
WEBS,156,0.01,0.255,0.0000023929
CTRL,156,0.01,0.225,0.0000078271
FOAM,156,0.01,0.228,0.0000024458
BARA,155,0.01,0.321,0.0000179029
GAUL,155,0.01,0.211,0.0000027041
JEEP,155,0.01,0.305,0.0000010512
MIFF,155,0.01,0.110,0.0000001802
PEDI,155,0.01,0.263,0.0000086457
CHOW,155,0.01,0.137,0.0000005161
DEFY,155,0.01,0.199,0.0000007410
DUCT,155,0.01,0.159,0.0000017001
PECK,155,0.01,0.204,0.0000011146
SILK,155,0.01,0.214,0.0000029612
TASE,155,0.01,0.412,0.0000999351
BODY,154,0.01,0.145,0.0000007312
DING,154,0.01,0.178,0.0000026268
IMET,154,0.01,0.298,0.0000165422
IWIN,154,0.01,0.194,0.0000023976
MOBS,154,0.01,0.210,0.0000034039
OJAI,154,0.01,0.253,0.0000010569
TOWS,154,0.01,0.245,0.0000049749
USMC,154,0.01,0.167,0.0000015771
WHIR,154,0.01,0.167,0.0000010735
RORY,154,0.01,0.234,0.0000055532
ITOO,154,0.01,0.283,0.0000246165
NORI,154,0.01,0.269,0.0000200668
PEPS,153,0.01,0.282,0.0000094733
BAHT,153,0.01,0.228,0.0000035379
KNOX,153,0.01,0.148,0.0000001261
ORIG,153,0.01,0.228,0.0000064162
PLEB,153,0.01,0.237,0.0000038290
POCO,153,0.01,0.206,0.0000044594
WITH,153,0.01,0.166,0.0000010613
MEWL,153,0.01,0.229,0.0000021152
TOPE,153,0.01,0.312,0.0000205080
FOOT,153,0.01,0.232,0.0000041400
HALS,152,0.01,0.280,0.0000125063
COPY,152,0.01,0.146,0.0000008467
EDOM,152,0.01,0.276,0.0000103607
FOIL,152,0.01,0.200,0.0000025388
NISI,152,0.01,0.272,0.0000201813
SHIV,152,0.01,0.181,0.0000009987
TOOK,152,0.01,0.231,0.0000040876
WART,152,0.01,0.269,0.0000062366
BULB,152,0.01,0.114,0.0000004261
KAYO,152,0.01,0.214,0.0000012518
MILA,152,0.01,0.257,0.0000103565
PIMA,152,0.01,0.232,0.0000054179
PING,152,0.01,0.169,0.0000019989
WIFE,152,0.01,0.220,0.0000009180
EMER,152,0.01,0.375,0.0000374174
WHAM,152,0.01,0.176,0.0000007642
SWEE,152,0.01,0.374,0.0000175754
ETDS,152,0.01,0.334,0.0000318378
ATAT,151,0.01,0.373,0.0000675094
BEBE,151,0.01,0.312,0.0000066141
GIRD,151,0.01,0.190,0.0000031412
HADJ,151,0.01,0.177,0.0000001937
MUNI,151,0.01,0.172,0.0000023223
NILS,151,0.01,0.264,0.0000175176
PUNT,151,0.01,0.182,0.0000027430
TSOS,151,0.01,0.323,0.0000418744
BOOB,150,0.01,0.187,0.0000019650
FAUN,150,0.01,0.209,0.0000016386
LACY,150,0.01,0.211,0.0000024872
LEVY,150,0.01,0.213,0.0000008321
VARY,150,0.01,0.210,0.0000009432
VEGA,150,0.01,0.280,0.0000024369
WALT,150,0.01,0.250,0.0000046085
YAWN,150,0.01,0.200,0.0000010393
LYRA,150,0.01,0.255,0.0000063061
SINO,150,0.01,0.285,0.0000245985
SUCH,150,0.01,0.163,0.0000013226
AMSO,150,0.01,0.306,0.0000209406
GOOF,150,0.01,0.179,0.0000011197
EQUI,150,0.01,0.222,0.0000001458
BMOC,150,0.01,0.150,0.0000010952
JUDO,150,0.01,0.136,0.0000001250
CYST,149,0.01,0.203,0.0000025581
DRUG,149,0.01,0.151,0.0000011658
FILM,149,0.01,0.153,0.0000009299
HIYA,149,0.01,0.214,0.0000023156
HOSS,149,0.01,0.275,0.0000135005
SOTO,149,0.01,0.310,0.0000354460
AUEL,149,0.01,0.329,0.0000192528
HUTS,149,0.01,0.206,0.0000033154
CANI,149,0.01,0.265,0.0000121624
YEGG,149,0.01,0.190,0.0000007284
BIKE,148,0.01,0.228,0.0000016131
FLEX,148,0.01,0.204,0.0000002071
GAOL,148,0.01,0.263,0.0000088807
GLOM,148,0.01,0.175,0.0000021167
MANO,148,0.01,0.278,0.0000142855
PIUS,148,0.01,0.201,0.0000034624
VANS,148,0.01,0.272,0.0000049076
WEBB,148,0.01,0.185,0.0000005060
GROG,148,0.01,0.186,0.0000020152
GARY,148,0.01,0.221,0.0000022818
COSI,147,0.01,0.253,0.0000116016
DONA,147,0.01,0.287,0.0000190943
HONK,147,0.01,0.169,0.0000010621
INOR,147,0.01,0.269,0.0000200668
POLS,147,0.01,0.245,0.0000098703
DIBS,147,0.01,0.205,0.0000037327
NANU,147,0.01,0.259,0.0000095708
VINO,147,0.01,0.205,0.0000022179
WITS,147,0.01,0.232,0.0000040815
AGRO,147,0.01,0.282,0.0000120180
TERP,147,0.01,0.309,0.0000197640
BOLD,146,0.01,0.184,0.0000027426
CHOU,146,0.01,0.149,0.0000011196
GILT,146,0.01,0.205,0.0000045173
HOWL,146,0.01,0.162,0.0000009669
JAMS,146,0.01,0.233,0.0000005574
KEPI,146,0.01,0.237,0.0000024058
SANA,146,0.01,0.379,0.0000708043
TICK,146,0.01,0.172,0.0000012747
WADS,146,0.01,0.251,0.0000039284
BOOS,146,0.01,0.257,0.0000092931
ESPO,146,0.01,0.329,0.0000254284
GRIM,146,0.01,0.180,0.0000023501
SETI,146,0.01,0.359,0.0000533534
ITON,145,0.01,0.268,0.0000198387
ABOU,145,0.01,0.232,0.0000036809
CORK,145,0.01,0.186,0.0000015716
GYMS,145,0.01,0.149,0.0000006667
SIBS,145,0.01,0.257,0.0000090071
AGTS,145,0.01,0.294,0.0000140362
COPS,145,0.01,0.220,0.0000052682
ELKO,145,0.01,0.276,0.0000056054
SESS,145,0.01,0.403,0.0000952573
THRO,145,0.01,0.241,0.0000088823
VAMP,145,0.01,0.178,0.0000007034
IWON,145,0.01,0.207,0.0000029224
BOUT,145,0.01,0.188,0.0000022821
NUKE,145,0.01,0.231,0.0000019316
ANDA,144,0.01,0.327,0.0000293427
COIF,144,0.01,0.175,0.0000013550
DEKE,144,0.01,0.322,0.0000070700
KONA,144,0.01,0.261,0.0000053134
LOBS,144,0.01,0.235,0.0000066180
OTOS,144,0.01,0.310,0.0000354460
SSGT,144,0.01,0.268,0.0000107903
VOLT,144,0.01,0.208,0.0000022759
BINS,144,0.01,0.229,0.0000061445
LUNG,144,0.01,0.156,0.0000014181
MOLD,144,0.01,0.192,0.0000040216
FLOW,144,0.01,0.149,0.0000004343
RALE,144,0.01,0.378,0.0000609350
FAKE,143,0.01,0.273,0.0000016690
IANS,143,0.01,0.325,0.0000378011
ISAO,143,0.01,0.340,0.0000469047
DOFF,143,0.01,0.132,0.0000002935
LUCE,143,0.01,0.242,0.0000047621
TRIX,143,0.01,0.208,0.0000008655
EINS,143,0.01,0.348,0.0000451298
PIAF,143,0.01,0.215,0.0000020410
IROC,143,0.01,0.237,0.0000094643
EGGY,142,0.01,0.190,0.0000007284
GARP,142,0.01,0.235,0.0000044773
GWEN,142,0.01,0.228,0.0000016840
MARK,142,0.01,0.225,0.0000023273
DORY,142,0.01,0.198,0.0000028211
FARR,142,0.01,0.270,0.0000062017
GILL,142,0.01,0.187,0.0000033764
WAFT,142,0.01,0.207,0.0000008929
LAZY,142,0.01,0.185,0.0000001933
CLEM,141,0.01,0.247,0.0000057284
GLUM,141,0.01,0.123,0.0000006445
CALC,141,0.01,0.225,0.0000049792
FITS,141,0.01,0.232,0.0000040126
MING,141,0.01,0.169,0.0000019653
MOOG,141,0.01,0.197,0.0000029723
PONG,140,0.01,0.182,0.0000024364
ENCL,140,0.01,0.280,0.0000126039
LEOI,140,0.01,0.327,0.0000337568
MOPS,140,0.01,0.219,0.0000050766
OSTE,140,0.01,0.372,0.0000650313
TOSH,140,0.01,0.258,0.0000108882
ATRI,140,0.01,0.320,0.0000364563
GOYA,140,0.01,0.224,0.0000023677
JOEL,140,0.01,0.268,0.0000010953
SOCK,140,0.01,0.202,0.0000019265
IDED,140,0.01,0.272,0.0000113615
YIPS,140,0.01,0.192,0.0000021590
WAYS,140,0.01,0.228,0.0000015235
HAIG,139,0.01,0.219,0.0000031427
HEEP,139,0.01,0.326,0.0000121305
ARAN,139,0.01,0.363,0.0000577603
CURB,139,0.01,0.142,0.0000008774
DANK,139,0.01,0.222,0.0000026013
EDUC,139,0.01,0.225,0.0000032738
FEND,139,0.01,0.245,0.0000031454
RABE,139,0.01,0.343,0.0000213738
UNIV,139,0.01,0.153,0.0000006753
VEND,139,0.01,0.242,0.0000024281
CUSS,139,0.01,0.228,0.0000050867
GEER,139,0.01,0.366,0.0000263237
GELT,139,0.01,0.281,0.0000101017
HOMO,139,0.01,0.200,0.0000035432
JEAN,139,0.01,0.315,0.0000019047
RIEN,139,0.01,0.331,0.0000368157
ZEES,139,0.01,0.366,0.0000036990
ZEUS,139,0.01,0.251,0.0000006139
FUEL,139,0.01,0.224,0.0000017287
NAES,139,0.01,0.401,0.0000845316
VIES,139,0.01,0.295,0.0000059646
CRED,139,0.01,0.275,0.0000103615
WAWA,139,0.01,0.251,0.0000014649
OWIE,139,0.01,0.284,0.0000066529
CEST,138,0.01,0.326,0.0000247184
CRUX,138,0.01,0.126,0.0000001281
EEKS,138,0.01,0.374,0.0000170600
WAKE,138,0.01,0.273,0.0000016977
YIPE,138,0.01,0.241,0.0000033529
EATA,138,0.01,0.439,0.0001299968
MYRA,138,0.01,0.229,0.0000032434
NOOR,138,0.01,0.282,0.0000244590
VOLE,138,0.01,0.274,0.0000043825
WADI,138,0.01,0.224,0.0000027282
FEMA,138,0.01,0.290,0.0000044872
FIRM,137,0.01,0.171,0.0000012584
KILT,137,0.01,0.196,0.0000023882
LIMN,137,0.01,0.203,0.0000054313
MOMS,137,0.01,0.218,0.0000049912
ENOW,137,0.01,0.283,0.0000065352
FOOD,137,0.01,0.197,0.0000021273
GOIN,137,0.01,0.216,0.0000053655
HEWS,137,0.01,0.259,0.0000029427
SABE,137,0.01,0.360,0.0000262007
BLOG,137,0.01,0.166,0.0000014436
BARK,136,0.01,0.216,0.0000015871
BOYS,136,0.01,0.196,0.0000017644
KIND,136,0.01,0.169,0.0000013888
ROTA,136,0.01,0.334,0.0000444358
WEEK,136,0.01,0.296,0.0000020268
ASWE,136,0.01,0.352,0.0000147213
DUTY,136,0.01,0.145,0.0000008492
MUST,136,0.01,0.210,0.0000039533
GAGS,135,0.01,0.242,0.0000037962
IDIO,135,0.01,0.235,0.0000103777
NCAR,135,0.01,0.276,0.0000142867
SKYS,135,0.01,0.201,0.0000011368
SWIT,135,0.01,0.232,0.0000040815
DEPT,135,0.01,0.273,0.0000100403
DIAS,135,0.01,0.302,0.0000229635
HOGS,135,0.01,0.206,0.0000029448
MORT,135,0.01,0.246,0.0000105913
JOLT,135,0.01,0.202,0.0000005688
ROLO,135,0.01,0.275,0.0000216131
SHAY,134,0.01,0.241,0.0000033343
JOSH,134,0.01,0.188,0.0000003042
MOLL,134,0.01,0.209,0.0000058498
WOLF,134,0.01,0.149,0.0000004343
ESTH,134,0.01,0.320,0.0000199761
FAZE,134,0.01,0.265,0.0000003619
JOSE,134,0.01,0.303,0.0000018169
WORM,134,0.01,0.185,0.0000015602
PUCE,134,0.01,0.217,0.0000024912
DEUS,134,0.01,0.285,0.0000101750
KENS,133,0.01,0.297,0.0000074939
ABAT,133,0.01,0.320,0.0000176994
HARK,133,0.01,0.221,0.0000019517
IAMA,133,0.01,0.319,0.0000223483
MELS,133,0.01,0.307,0.0000178039
USTA,133,0.01,0.298,0.0000165859
ARIZ,133,0.01,0.251,0.0000011303
EEOC,133,0.01,0.378,0.0000402910
FUSS,133,0.01,0.210,0.0000018465
UNIS,133,0.01,0.233,0.0000074901
DIKE,133,0.01,0.246,0.0000031616
DOGE,133,0.01,0.268,0.0000072889
TREF,133,0.01,0.291,0.0000073199
KITS,133,0.01,0.232,0.0000039618
HOYA,133,0.01,0.227,0.0000028225
BAHS,132,0.01,0.245,0.0000043868
BIND,132,0.01,0.177,0.0000025464
ITBE,132,0.01,0.289,0.0000112814
KOBE,132,0.01,0.241,0.0000019662
LIPO,132,0.01,0.218,0.0000068547
LTDS,132,0.01,0.250,0.0000123582
TITI,132,0.01,0.266,0.0000192421
CLOY,132,0.01,0.171,0.0000016185
CRUE,132,0.01,0.261,0.0000064444
GRUB,132,0.01,0.133,0.0000005948
NOAM,132,0.01,0.278,0.0000142855
EDDO,132,0.01,0.286,0.0000138483
ANTZ,132,0.01,0.249,0.0000010976
OKED,132,0.01,0.259,0.0000038536
ABCD,131,0.01,0.199,0.0000022495
ANIS,131,0.01,0.325,0.0000378011
DECA,131,0.01,0.318,0.0000165223
KROC,131,0.01,0.186,0.0000015716
MOTO,131,0.01,0.249,0.0000109900
ANOS,131,0.01,0.339,0.0000460749
ENER,131,0.01,0.407,0.0000823281
FUSE,131,0.01,0.259,0.0000028677
ONED,131,0.01,0.309,0.0000227963
TACK,131,0.01,0.225,0.0000023876
IAMS,131,0.01,0.293,0.0000171802
OYER,131,0.01,0.299,0.0000105718
BAYS,130,0.01,0.237,0.0000027115
HOOF,130,0.01,0.183,0.0000013348
KIDS,130,0.01,0.197,0.0000020358
LANK,130,0.01,0.239,0.0000037839
PULP,130,0.01,0.132,0.0000009478
SUEZ,130,0.01,0.251,0.0000006139
WOKS,130,0.01,0.184,0.0000007113
AMYS,130,0.01,0.245,0.0000039759
FIVE,130,0.01,0.217,0.0000006967
HIED,130,0.01,0.259,0.0000071286
LUNE,130,0.01,0.274,0.0000100968
MYST,130,0.01,0.202,0.0000024651
USMA,130,0.01,0.254,0.0000063763
CURT,130,0.01,0.195,0.0000033467
RDAS,130,0.01,0.312,0.0000269742
DEJA,130,0.01,0.291,0.0000011571
OMSK,130,0.01,0.201,0.0000018564
PENA,129,0.01,0.341,0.0000266576
YUMA,129,0.01,0.180,0.0000010248
ANIN,129,0.01,0.297,0.0000257876
TARN,129,0.01,0.319,0.0000358113
WOOS,129,0.01,0.249,0.0000052215
ZULU,129,0.01,0.101,0.0000000614
OHMY,129,0.01,0.140,0.0000006727
POSY,129,0.01,0.206,0.0000026315
HULL,129,0.01,0.153,0.0000014938
SFPD,129,0.01,0.163,0.0000009363
FORD,128,0.01,0.194,0.0000020502
HORS,128,0.01,0.259,0.0000110133
ITES,128,0.01,0.359,0.0000533534
JAPE,128,0.01,0.282,0.0000008805
KILL,128,0.01,0.178,0.0000017851
PULL,128,0.01,0.157,0.0000018117
REMI,128,0.01,0.299,0.0000167324
RHEE,128,0.01,0.370,0.0000313796
SCUT,128,0.01,0.211,0.0000041024
CULT,128,0.01,0.176,0.0000024730
ITIN,128,0.01,0.255,0.0000162762
MPAA,128,0.01,0.286,0.0000101481
WEAK,128,0.01,0.273,0.0000016977
DIEU,128,0.01,0.258,0.0000070663
DYAN,128,0.01,0.226,0.0000036253
HAMM,128,0.01,0.193,0.0000019944
CAMS,127,0.01,0.260,0.0000079595
FORA,127,0.01,0.273,0.0000064352
MONK,127,0.01,0.173,0.0000012664
OUSE,127,0.01,0.324,0.0000207832
SONE,127,0.01,0.361,0.0000550077
ZENO,127,0.01,0.275,0.0000013754
BOWL,127,0.01,0.157,0.0000007863
DEVO,127,0.01,0.257,0.0000030129
HAWK,127,0.01,0.159,0.0000002842
ITTY,127,0.01,0.218,0.0000044531
SAWN,127,0.01,0.275,0.0000064666
COGS,127,0.01,0.211,0.0000036439
MAHI,127,0.01,0.227,0.0000044672
REFI,127,0.01,0.281,0.0000063032
DULL,126,0.01,0.166,0.0000023808
CANA,126,0.01,0.319,0.0000227812
DINA,126,0.01,0.274,0.0000156655
SOWN,126,0.01,0.234,0.0000042081
TIGE,126,0.01,0.290,0.0000116377
WAXY,126,0.01,0.143,0.0000000470
WIRY,126,0.01,0.158,0.0000006635
BACK,126,0.01,0.173,0.0000006260
BAIO,126,0.01,0.270,0.0000099178
GDAY,126,0.01,0.185,0.0000011592
WELT,126,0.01,0.273,0.0000055020
GAFF,125,0.01,0.155,0.0000002374
PIPS,125,0.01,0.206,0.0000042363
BUST,125,0.01,0.201,0.0000026960
STAS,125,0.01,0.363,0.0000643494
MAAS,125,0.01,0.346,0.0000321799
LOPS,125,0.01,0.245,0.0000098703
MSRP,125,0.01,0.216,0.0000048925
VEES,125,0.01,0.371,0.0000133382
CUED,124,0.01,0.225,0.0000032738
DALY,124,0.01,0.219,0.0000032035
EGAL,124,0.01,0.325,0.0000162931
MLLE,124,0.01,0.272,0.0000107325
MOAB,124,0.01,0.236,0.0000044278
PIGS,124,0.01,0.197,0.0000029301
NITA,124,0.01,0.308,0.0000304866
POME,124,0.01,0.268,0.0000078841
ROWE,124,0.01,0.295,0.0000078148
SVEN,124,0.01,0.294,0.0000058591
BPOE,124,0.01,0.259,0.0000053767
FIFE,124,0.01,0.220,0.0000009025
ODED,124,0.01,0.286,0.0000138483
BIEN,123,0.01,0.278,0.0000095425
GORY,123,0.01,0.181,0.0000014848
HEDY,123,0.01,0.211,0.0000016497
ORGS,123,0.01,0.255,0.0000092388
PACS,123,0.01,0.260,0.0000080958
RETE,123,0.01,0.418,0.0000973300
RIFF,123,0.01,0.154,0.0000004740
WALE,123,0.01,0.316,0.0000088742
WEND,123,0.01,0.245,0.0000031995
WINS,123,0.01,0.221,0.0000034524
COMP,123,0.01,0.159,0.0000016334
DEMS,123,0.01,0.290,0.0000122397
NCIS,123,0.01,0.239,0.0000093499
SUNG,123,0.01,0.191,0.0000023525
EEGS,123,0.01,0.383,0.0000322684
SETT,123,0.01,0.369,0.0000619597
GIFT,122,0.01,0.162,0.0000008752
PACK,122,0.01,0.182,0.0000009336
YURI,122,0.01,0.171,0.0000014395
NEVA,122,0.01,0.321,0.0000076216
PUSH,122,0.01,0.162,0.0000012964
WILD,122,0.01,0.162,0.0000012643
IPSE,122,0.01,0.315,0.0000208621
NYPD,122,0.01,0.139,0.0000008789
CONN,122,0.01,0.224,0.0000077745
SENS,122,0.01,0.375,0.0000649837
TOKE,122,0.01,0.294,0.0000074994
JILT,122,0.01,0.188,0.0000004666
BTUS,122,0.01,0.201,0.0000026960
MUSS,122,0.01,0.227,0.0000049018
COBS,121,0.01,0.211,0.0000035323
JOIN,121,0.01,0.199,0.0000005543
ALIS,121,0.01,0.318,0.0000334028
BANK,121,0.01,0.204,0.0000013272
TORS,121,0.01,0.307,0.0000341600
YESM,121,0.01,0.268,0.0000047467
SUMS,121,0.01,0.227,0.0000049018
VENI,121,0.01,0.267,0.0000040690
ABAB,120,0.01,0.268,0.0000046404
CERT,120,0.01,0.309,0.0000201646
MILK,120,0.01,0.152,0.0000009181
PFCS,120,0.01,0.155,0.0000007269
RYNE,120,0.01,0.284,0.0000085200
BORA,120,0.01,0.281,0.0000116500
DINT,120,0.01,0.230,0.0000097126
HACK,120,0.01,0.177,0.0000007698
POOP,120,0.01,0.206,0.0000043708
NTSB,120,0.01,0.239,0.0000071357
ITRY,120,0.01,0.219,0.0000045043
DEET,119,0.01,0.383,0.0000494444
TUSK,119,0.01,0.193,0.0000014704
AFTA,119,0.01,0.312,0.0000097767
BARI,119,0.01,0.267,0.0000095580
BOSN,119,0.01,0.242,0.0000074894
FENS,119,0.01,0.297,0.0000075899
HEWN,119,0.01,0.231,0.0000020075
HOLA,119,0.01,0.266,0.0000105864
CITI,119,0.01,0.223,0.0000076765
ENZO,118,0.01,0.275,0.0000013754
HUEY,118,0.01,0.197,0.0000010260
IDAS,118,0.01,0.302,0.0000229635
IOLA,118,0.01,0.305,0.0000282749
LACK,118,0.01,0.207,0.0000017846
RIGG,118,0.01,0.172,0.0000016533
RUGS,118,0.01,0.203,0.0000028132
GOTH,118,0.01,0.189,0.0000023750
RSTU,118,0.01,0.255,0.0000104015
WARY,118,0.01,0.212,0.0000012428
ESOS,118,0.01,0.389,0.0000806338
ONKP,118,0.01,0.173,0.0000012881
LURK,118,0.01,0.159,0.0000008966
LUXE,118,0.01,0.216,0.0000004571
